用例ID,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC-NORMAL-001,AI双图融合正常完整流程,打开AI双图融合主页,"1. 点击第一张""选择人物/内容""
2. 从相册选择一张照片
3. 点击确定
4. 点击第二张""选择人物/内容""
5. 从相册选择一张照片
6. 点击确定
7. 点击""开始魔法融合""按钮
8. 等待融合完成
9. 点击""保持到本地""","1. 跳转到图片选择页面
2. 图片选中
3. 返回到主页，显示第一张照片
4. 跳转到图片选择页面
5. 图片选中
6. 返回到主页，显示两张照片
7. 进入融合中页面
8. 融合成功，显示结果页面
9. 图片保存成功",高,无
TC-NORMAL-002,选择单张图片后取消,打开AI双图融合主页,"1. 点击第一张""选择人物/内容""
2. 从相册选择一张照片
3. 点击取消","1. 跳转到图片选择页面
2. 图片选中
3. 返回到主页，不显示照片",高,无
TC-NORMAL-003,融合完成后重新生成,已完成一次融合，在融合完成页面,"1. 点击""重新生成""按钮","1. 返回到选中照片页面
2. 可以重新开始融合",高,无
TC-ABNORMAL-001,未选择图片点击开始融合,打开AI双图融合主页，未选择任何图片,"1. 点击""开始魔法融合""按钮","1. 提示请先选择两张图片
2. 不进入融合流程",高,无
TC-ABNORMAL-002,只选择一张图片点击开始融合,打开AI双图融合主页，只选择了一张图片,"1. 点击""开始魔法融合""按钮","1. 提示请选择第二张图片
2. 不进入融合流程",高,无
TC-ABNORMAL-003,选择非人脸图片进行融合,打开AI双图融合主页,"1. 选择两张没有人脸的图片
2. 点击""开始魔法融合""","1. 提示无法识别面部特征
2. 或提示请选择包含人脸的图片",高,无
TC-ABNORMAL-004,融合过程中网络断开,正在融合中,1. 断开网络连接,"1. 显示网络断开提示
2. 提供重试选项",高,无
TC-ABNORMAL-005,融合失败处理,正在融合中,1. 等待融合失败,"1. 显示融合失败提示
2. 提供重试选项
3. 提供返回选项",高,无
TC-ABNORMAL-006,保存到本地失败,在融合完成页面,"1. 点击""保持到本地""","1. 显示保存失败提示
2. 提供重试选项",高,无
TC-ABNORMAL-007,融合过程中退出页面,正在融合中,1. 点击返回按钮,"1. 提示是否确认退出
2. 或直接退出，取消融合",中,需确认预期行为
TC-BOUNDARY-001,选择最小尺寸图片,打开AI双图融合主页,"1. 选择最小尺寸的图片（如100x100像素）
2. 点击""开始魔法融合""","1. 图片可以正常选择
2. 融合可以正常进行",高,无
TC-BOUNDARY-002,选择最大尺寸图片,打开AI双图融合主页,"1. 选择最大尺寸的图片（如10MB以上）
2. 点击""开始魔法融合""","1. 图片可以正常选择
2. 融合可以正常进行
3. 或提示图片过大",高,无
TC-BOUNDARY-003,选择不同格式图片,打开AI双图融合主页,"1. 选择JPG格式图片
2. 选择PNG格式图片
3. 点击""开始魔法融合""","1. 两种格式图片都可以正常选择
2. 融合可以正常进行",中,无
TC-BOUNDARY-004,融合超时边界,正在融合中,1. 等待融合超过最大超时时间（如5分钟）,"1. 显示融合超时提示
2. 提供重试选项",中,需确认超时时间
TC-BOUNDARY-005,选择多张图片后只保留两张,在图片选择页面,"1. 选择多张图片
2. 点击确定","1. 只保留选中的两张图片
2. 或提示只能选择两张图片",中,无
TC-BOUNDARY-006,黑白图片融合,打开AI双图融合主页,"1. 选择两张黑白图片
2. 点击""开始魔法融合""","1. 图片可以正常选择
2. 融合可以正常进行",中,无
TC-COMPAT-001,iPhone设备测试,使用iPhone设备,1. 在iPhone上测试AI双图融合完整流程,"1. 所有页面正常显示
2. 所有功能正常工作",高,无
TC-COMPAT-002,Android设备测试,使用Android设备,1. 在Android上测试AI双图融合完整流程,"1. 所有页面正常显示
2. 所有功能正常工作",高,无
TC-COMPAT-003,小屏幕设备测试,使用小屏幕手机（如iPhone SE）,1. 在小屏幕设备上测试所有页面,"1. 所有页面正常显示
2. 无元素重叠",中,无
TC-COMPAT-004,大屏幕设备测试,使用大屏幕手机/平板,1. 在大屏幕设备上测试所有页面,"1. 所有页面正常显示
2. 布局适配正确",中,无
TC-COMPAT-005,横竖屏切换测试,使用支持横竖屏的设备,"1. 在竖屏模式下测试
2. 切换到横屏模式
3. 检查所有页面显示","1. 竖屏模式显示正常
2. 横屏模式显示正常
3. 布局正确适配",中,无
TC-COMPAT-006,不同系统版本测试,使用不同系统版本的设备,"1. 在iOS 15上测试
2. 在iOS 16上测试
3. 在iOS 17上测试","1. 所有系统版本下功能正常
2. 显示正常",中,无
TC-PERF-001,融合耗时测试,打开AI双图融合主页，已选择两张图片,"1. 点击""开始魔法融合""
2. 记录融合开始时间
3. 记录融合完成时间
4. 计算总耗时","1. 融合耗时在可接受范围内（如30秒内）
2. 进度条显示流畅",高,需确认可接受的耗时范围
TC-PERF-002,大图片融合性能,打开AI双图融合主页,"1. 选择两张大图片（如5MB以上）
2. 点击""开始魔法融合""
3. 记录融合耗时","1. 融合可以正常进行
2. 耗时在可接受范围内",高,无
TC-PERF-003,图片加载速度,在图片选择页面,"1. 进入图片选择页面
2. 记录图片加载完成时间","1. 图片在2秒内加载完成
2. 加载流畅，无卡顿",中,无
TC-PERF-004,连续多次融合,打开AI双图融合主页,"1. 完成第一次融合
2. 点击""重新生成""
3. 完成第二次融合
4. 重复5次","1. 每次融合都能正常完成
2. 无内存泄漏
3. 性能无明显下降",中,无
TC-PERF-005,弱网络环境融合,打开AI双图融合主页，已选择两张图片,"1. 切换到弱网络环境（如2G）
2. 点击""开始魔法融合""","1. 融合可以继续进行
2. 或给出网络提示
3. 提供取消选项",中,无
TC-SEC-001,图片上传安全检查,打开AI双图融合主页,"1. 尝试上传包含恶意代码的图片
2. 观察处理结果","1. 拒绝上传
2. 或提示图片格式不正确",高,无
TC-SEC-002,敏感内容图片检查,打开AI双图融合主页,"1. 选择包含敏感内容的图片
2. 点击""开始魔法融合""","1. 提示图片包含敏感内容
2. 拒绝进行融合",高,无
TC-SEC-003,用户隐私保护,使用AI双图融合功能,"1. 使用自己的照片进行融合
2. 检查照片是否被妥善处理","1. 照片不会被上传到非必要服务器
2. 融合完成后照片被妥善清理",高,无
TC-UI-001,AI双图融合主页布局检查,打开AI双图融合主页,"1. 检查页面标题
2. 检查两张选择卡片
3. 检查开始魔法融合按钮
4. 检查底部说明文字","1. 标题""AI双图融合""显示正确
2. 两张选择卡片布局整齐
3. ""开始魔法融合""按钮显示正确
4. 说明文字显示正确",高,无
TC-UI-002,图片选择页面布局检查,在图片选择页面,"1. 检查页面标题
2. 检查取消按钮
3. 检查确定按钮
4. 检查图片网格","1. 标题""图片""显示正确
2. 取消按钮位置正确
3. 确定按钮位置正确
4. 图片网格布局整齐",高,无
TC-UI-003,选中照片页面布局检查,在选中照片页面,"1. 检查两张照片显示
2. 检查开始魔法融合按钮
3. 检查底部说明文字","1. 两张照片正确显示
2. ""开始魔法融合""按钮显示正确
3. 说明文字显示正确",高,无
TC-UI-004,融合中页面布局检查,在融合中页面,"1. 检查两张缩略图
2. 检查融合提示文字
3. 检查进度条
4. 检查进度百分比","1. 两张缩略图正确显示
2. ""正在识别面部特征...""文字正确
3. 进度条显示正确
4. 进度百分比正确",高,无
TC-UI-005,融合完成页面布局检查,在融合完成页面,"1. 检查融合结果图片
2. 检查""保持到本地""按钮
3. 检查""重新生成""按钮","1. 融合结果图片正确显示
2. ""保持到本地""按钮显示正确
3. ""重新生成""按钮显示正确",高,无
TC-UI-006,颜色和样式检查,打开AI双图融合主页,"1. 观察整体颜色搭配
2. 检查按钮颜色
3. 检查文字颜色
4. 检查卡片颜色","1. 整体颜色搭配和谐
2. 按钮颜色符合设计
3. 文字颜色符合设计
4. 卡片颜色符合设计",中,无
TC-UI-007,底部导航栏检查,打开AI双图融合主页,"1. 检查云相册按钮
2. 检查拍立得按钮
3. 检查我的按钮
4. 检查选中状态","1. 云相册按钮显示正确
2. 拍立得按钮显示正确
3. 我的按钮显示正确
4. 拍立得按钮显示选中状态",高,无
TC-EASE-001,页面导航易用性,打开AI双图融合主页,"1. 尝试从主页进入图片选择
2. 尝试从图片选择返回
3. 尝试从融合中返回","1. 导航路径清晰
2. 返回操作直观
3. 无迷惑的操作",高,无
TC-EASE-002,操作提示清晰度,使用AI双图融合功能,"1. 观察页面提示文字
2. 观察按钮文字
3. 观察错误提示","1. 提示文字清晰易懂
2. 按钮文字明确
3. 错误提示有指导意义",高,无
TC-EASE-003,新用户上手测试,首次使用AI双图融合功能,"1. 观察用户是否能快速理解操作
2. 观察是否需要帮助","1. 新用户能在30秒内理解基本操作
2. 界面直观，不需要额外帮助",中,无
TC-EASE-004,错误恢复易用性,遇到错误情况,"1. 触发一个错误（如融合失败）
2. 观察恢复选项","1. 提供清晰的恢复选项
2. 用户能轻松恢复到正常流程",中,无
TC-EASE-005,进度反馈清晰度,正在融合中,"1. 观察进度条
2. 观察进度文字
3. 观察提示文字","1. 进度条清晰可见
2. 进度数字准确
3. 提示文字让用户知道正在做什么",高,无
TC-CONCUR-001,融合过程中切换页面,正在融合中,"1. 切换到其他页面（如云相册）
2. 再切换回来","1. 融合继续进行
2. 或提示是否继续融合
3. 状态正确保存",高,无
TC-CONCUR-002,多用户同时融合,使用多个设备,"1. 设备A开始融合
2. 设备B同时开始融合
3. 观察两个设备的融合结果","1. 两个设备都能正常融合
2. 互不干扰
3. 都能正常完成",中,无
TC-CONCUR-003,融合过程中接收通知,正在融合中,"1. 融合过程中收到系统通知
2. 点击通知
3. 返回应用","1. 融合继续进行
2. 或暂停并询问
3. 可以继续完成融合",中,无
TC-CONCUR-004,快速连续操作,打开AI双图融合主页,"1. 快速点击选择按钮
2. 快速点击开始融合
3. 快速点击返回","1. 系统响应正常
2. 无崩溃
3. 状态正确",中,无
